OrderId,CustomerId,RepairDate,TechName,LicencePlate,VehicleYear,VehicleMake,VehicleModel,Mileage,Lube,OilChange,FlushTransmission,FlushDifferential,Wash,Polish,LaborHours,LaborCostPerHour,TotalCostParts,TotalCostLabor,TotalCostLaborParts,GrandTotal
481,5495994,6/23/2019,Caterina Niemetz,711-uje-4pp,2006,Audi,S4,true,true,false,false,false,true,true,26,$27.33,$3490404.48,$9253.37,$511796.64,$3336759.96
952,8840243,11/16/2018,Liesa Duggon,482-zbi-7ty,1999,Mercedes-Benz,SL-Class,true,false,true,true,true,false,false,16,$40.01,$2529520.23,$7507.29,$4804974.21,$7811097.80
945,3500362,11/27/2018,Estele Klass,611-ylj-7ez,2010,Acura,TSX,false,true,true,false,false,true,false,34,$12.27,$369690.22,$7518.28,$5124094.62,$2558689.25
622,8760764,8/10/2019,Warner Witterick,308-ccs-3sb,2006,Volvo,XC70,true,false,false,false,false,true,false,70,$33.33,$5169932.99,$3711.38,$6903971.04,$4776149.58
374,1139591,8/14/2019,Aubert Yelden,514-hee-4be,2003,Maybach,62,false,true,true,false,true,false,false,57,$17.88,$3773051.35,$373.79,$5606663.77,$3392338.79
443,6008621,6/30/2019,Cathi Tickle,241-scy-7sc,2000,Plymouth,Breeze,true,false,false,true,true,true,false,26,$31.85,$4811331.26,$1625.64,$3943623.40,$4777359.19
285,8333275,3/24/2019,Cristiano Langridge,707-ywm-4tu,1992,Mercedes-Benz,300D,true,true,true,false,false,false,true,23,$45.38,$1621681.24,$476.91,$1729986.85,$3960786.59
363,9814089,8/21/2019,Fey Grzelak,478-xyi-8tw,1996,GMC,Suburban 1500,false,false,false,true,true,false,true,6,$23.80,$2723904.90,$9953.22,$1894301.98,$6672960.49
984,8276044,5/11/2019,Candi Ronan,843-ksu-1yx,2004,Nissan,350Z,false,false,true,false,false,true,true,18,$37.51,$4569136.38,$3340.72,$2049599.10,$5038143.44
127,8901920,4/24/2019,Aggi Wedon,154-ovx-7jm,2006,Volvo,V70,false,true,false,true,true,true,true,1,$10.44,$990142.72,$7506.30,$3899447.68,$4043068.13
040,3581670,12/29/2018,Prudi Bettesworth,411-xdk-9pj,2000,Saab,9-3,false,true,true,false,true,true,false,29,$20.33,$1249815.13,$2021.61,$2355663.69,$688572.29
977,8943533,4/26/2019,Pietro Asaaf,378-gwd-3zs,2004,Lotus,Exige,false,true,false,true,true,true,true,69,$28.02,$5259400.53,$3390.00,$94376.26,$5617007.72
754,9867795,1/16/2019,Patrizia Thundercliffe,202-kab-4tc,2009,Infiniti,EX,true,false,true,true,false,true,true,48,$36.45,$2843894.49,$4823.67,$5740610.35,$6188313.24
587,3823036,6/7/2019,Selma Bariball,778-tws-4un,1992,Geo,Storm,false,true,false,true,true,false,false,53,$20.20,$5773.74,$8970.15,$5727491.55,$7202788.72
631,9308814,1/18/2019,Biddy Gloves,898-mlw-7gd,1999,Ford,Ranger,false,false,false,true,false,false,true,73,$11.20,$8903003.17,$1545.98,$1718373.71,$8444026.18
769,0563946,8/13/2019,Kelby Gumly,368-cdl-3ly,2003,Mazda,MX-5,true,true,false,false,false,true,true,15,$19.62,$235225.32,$592.88,$7752115.98,$3959560.29
973,8919668,12/7/2018,Danella Koppen,945-fen-3fb,2008,Ford,Explorer,true,false,false,true,true,false,true,31,$29.24,$4268334.06,$1517.55,$9793289.54,$1636478.77
086,5847238,12/28/2018,Jocelin Cunliffe,799-awu-5ec,2003,Acura,MDX,false,false,false,true,false,false,false,80,$22.93,$5992346.37,$94.75,$29810.89,$4550465.19
480,0936205,11/14/2018,El O'Gavin,169-rwu-2ln,2005,Mitsubishi,Lancer Evolution,true,false,false,true,false,false,true,64,$44.45,$539980.02,$8080.43,$1510008.05,$1133200.31
560,5892162,1/22/2019,Trish Vearncombe,984-rrc-4rm,2010,Audi,Q7,true,false,true,false,true,false,false,6,$10.08,$2143898.70,$6823.42,$9415568.57,$549426.46
